Dialogue,user1,user2 ,Link,Type
1,By what library and how can I scrape texts on an HTML by its heading and paragraph tags?,This can be done with BeautifulSoup,https://stackoverflow.com/questions/51571609/by-what-library-and-how-can-i-scrape-texts-on-an-html-by-its-heading-and-paragra,1
1,It will be really helpful if you can show me how to achieve it. Thanks!,"html = '''
<h1>House rule</h1>
    <h2>Rule 1</h2>
        <p>A</p>
        <p>B</p>
    <h2>Rule 2</h2>
        <h3>Rule 2.1</h3>
            <p>C</p>
        <h3>Rule 2.2</h3>
            <p>D</p>'''

from bs4 import BeautifulSoup
soup = BeautifulSoup(html,""lxml"")

counter = 1
all_leafs = []
while True:
    htag = 'h%d'%counter
    hgroups =  soup.findAll(htag)
    print(htag,len(hgroups))
    counter += 1
    if len(hgroups) == 0: 
        break
    for hgroup in hgroups:
        for c,descendant in enumerate(hgroup.find_all_next()):
            name = getattr(descendant, ""name"", None)
            if name == 'p':
                all_leafs.append((hgroup.getText(),descendant.getText()))
print(all_leafs)",,5
1,"Thanks for your detailed answer. I wasn't aware that we can use a tree to do that. However, the paragraphs I want to pair with the heading tags should only be within the nested tag structure. Will that be achievable by using BeautifulSoup?","I'm pretty sure that what you're aiming for is doable with BeautifulSoup, which will allow you to traverse the structure of your markup, you need to figure out how this is done, and then collect the pairs according to the rules you set.",,4
2,What library should i use to download a copy of Gmail emails through Python script? ,imaplib ,https://stackoverflow.com/questions/28284343/what-library-should-i-use-to-download-a-copy-of-gmail-emails-through-python-scri,1
2,Does this library let me download them to a .mbox filetype?,"mbox format usually means just that the messages are catenated after each other, with the caveat that each line that starts with From needs to be escaped with >, very easy to write out by hand from Python script, though also supported by standard library with mailbox.mbox",,4
3,Can you recommend what Python library to use for accessing AMQP (RabbitMQ)? From my research pika seems to be the preferred one.,"Pika is the RabbitMQ recommended library, you might also want to look at Celery ",https://stackoverflow.com/questions/5031606/good-python-library-for-amqp,1
3,I just discovered that celery creates a queue per task which is a disappointing weakness,We haven't found that to be an issue; our usage tasks get consumed quickly. I'd be interested to know if it's causing you difficulties though.,,
3,Never tried celery because it just didn't seem to fit with the overall AMQP architecture. Message queueuing is not just for distributing tasks to pools of workers.,"Ok, good to know. Yeah.. the main plus for celery was that it took a lot of coding away. If we find problems we may end up writing a thin wrapper around pika, as you have done. Good luck with your project! ",,
4,What is the simplest way - or library - to add a subscriber to mailchimp with python 2.5 on google app engine?,The MailChimp API has all the details for the functionality that you want.I have not used any of the Python libraries.,https://stackoverflow.com/questions/11667551/add-subscriber-to-mailchimp-with-python,1
4,thx anyway. I went down the trial and error route until I found something that works :) ,,,
5,What's a good Python library to manipulate frames of a video file?,"I've often needed the same thing and as far as I know, there is no good solution with bindings in Python. Where 30 is the target frame rate, 320x240 the image dimension and tmp%06d.jpg the pattern to use to store the generated jpegs. Then you can use PIL to manipulate each frame and mencoder or ffmpeg to stich the images back again into a movie. Obviously, you'll lose the audio track.",https://stackoverflow.com/questions/5619053/whats-a-good-python-library-to-manipulate-frames-of-a-video-file,1
5,"Yeah, that's what I've been trying but it seems pretty wasteful and like there should be a solution which cuts out the intermediate image files (as there are 10000s of them). I understand the issue with the key frames, but I'm not expecting a lossless process here. The audio track can be stripped out and mixed back in easily enough with mencoder, and presumably ffmpeg too.",I recommend scikit-video for you which is the most straightforward python video processing library I have ever met.,,
6,What library can I use to implement event driven programming in Python?,It looks like you want a library like PyDispatcher for signal registration and dispatching rather than an event-loop for networking.,https://stackoverflow.com/questions/9526574/what-library-can-i-use-to-implement-event-driven-programming-in-python,1
7,What would be a good python library to use to write a portable version of pacman with nice graphics?,and what about PyGame,https://stackoverflow.com/questions/5743946/what-would-be-a-good-python-library-to-use-to-write-a-portable-version-of-pacman,1
