user1,Type,modified
Hi bot!,0,1
Hello there,0,1
How you doin,0,1
I need help with an issue,0,1
How is your day going?,0,1
Nice meeting you!,0,1
Afternoon!,0,1
Pleasure meeting you.,0,1
Nice seeing you!,0,1
What is happening right now?,0,1
How is life treating you?,0,1
How've you been lately?,0,1
Thanks!,0,1
I want a library that helps me deal with complex numbers,1,1
Please give me a library for statistical inference,1,1
Can anyone suggest a library for visualization and plotting,1,1
Possible library to create a nice graphics user interface,1,1
Is there any framework that deals with web development,1,1
I need the name of the library that helps parse html tags from webpages to extract data.,1,1
What module should i import to use for enum,1,1
Which module is capable of creating games with nice graphics,1,1
I'm looking for a library that would allow me to edit a video file from python,1,1
Does any library provide capability of automatically cleaning the code in pep8,1,1
Can anyone assist me in finding a module to open excel spreadsheets in python,1,1
What can i import to use N dimensional arrays,1,1
What was the name of the library that allows using dataframes,1,1
"Any recommended library to deal with dns, and other web related issues",1,1
Good framework to enable sending http get and post requests,1,1
"I have been using Django for web-development, and have become quite fond of that framework. However, I would like to use a similar framework but for more general network applications. Is there such a framework? ",1,1
TypeError: '>=' not supported between instances of 'list' and 'int'. Hi I'm stuck with the above error. ,2,1
"TypeError: '<=' not supported between instances of 'list' and 'int' Why is it not supported?
Or did I miss something?",2,1
TypeError: '<' not supported between instances of 'list' and 'int'. How can I fix this?,2,1
"This is not working on version 3.0.5, besides used to work on version 1.90.3. If no button is pressed, error above shows:

TypeError: ‘>=’ not supported between instances of ‘list’ and ‘float’

Thanks for any help or ideas.",2,1
"TypeError: '<' not supported between instances of 'int' and 'str'

I am not sure what I am doing wrong. I only have int and float in my dataframe.",2,1
"I am new to python and have hit a wall. I followed several tutorials but cant get past the error:
    p = Pump.getPumps()
TypeError: getPumps() missing 1 required positional argument: 'self'
I examined several tutorials but there doesn't seem to be anything different from my code.
If I understand correctly ""self"" is passed to the constructor and methods automatically. What am I doing wrong here?",2,1
"I understand that it wants self to be passed into database but cannot understand where I am going to get this from as self from my main.py contains the wrong context.
I have my main class in which I want to call the database class and execute a function from withinclass
 Main:
    def __init__(self):
        self.db = Database
        self.db.createConnection()
 When I run this, I am presented with the following error.
TypeError: createConnection() missing 1 required positional argument: 'self' ",2,1
"I'm getting this error: MemoryError: memory allocation failed, allocating 964 bytes
Now, I don't know how to approach for the fix as I don't really understand what's really happening here.
Please let me know about the error and what should I do to fix this? ",2,1
"When you try to run file (test.py) with size of 18447 bytes, the error is generated:

MemoryError: memory allocation failed, allocating %u bytes",2,1
"MemoryError: memory allocation failed, allocating 80 bytes

I can't seem to get it running. The simple sample code does seem to work just fine.",2,1
"When I try to use a print statement in Python, it gives me this error:
SyntaxError: Missing parentheses in call to 'print'

What does that mean?",2,1
"Hi. I just started with learning Python today. 

I Written below basic function in jupyter text file and saved. 

def sayhello():
    print ""hello python""
after that when I run it, I get this error:

 SyntaxError: Missing parentheses in call to ""print"". Did you mean print(""hello python"")?",2,1
"Am new to python, a new concept which i love.... i started 3days back.... and am using a text book to teach myself.... i got to a section of the textbook and i saw a new concept which i love.but i entered the code the way it was entered in the text book.... but the program did not run...here is the code, and the result i was getting.......

SyntaxError: Missing parentheses in call to 'print'. Did you mean print(x*y)?",2,1
"I'm trying to write a function that will ask to input name, last name and year of birth. Also, it will later print out the initials and the age.

First of all, it doesn't ask for any of it.

Second of all, it doesn't matter what I'll enter it will print the error:

NameError: name ""____""  is not defined.
I'm using Python 3.",2,1
"I am getting an error when I try to run this simple python script:

input_variable = input (""Enter your name: "")
print (""your name is"" + input_variable)
Lets say I type in ""dude"", the error I am getting is:

line 1, in <module>
input_variable = input (""Enter your name: "")
File ""<string>"", line 1, in <module>
NameError: name 'dude' is not defined",2,1
"KeyError: 'Name' , What's the issue?Can anyone tell me why I am getting this error? I see no issue with the code",2,1
"I installed odoo 10 and after running ./odoo-bin -c odoo10-server.conf command on Terminal

ImportError: No module named pychart error occured.",2,1
"I installed numpy following this link - as suggested in the question. The installation went fine but when I execute

import numpy
I got the following error:

Import error: No module named numpy

I know this is probably a super basic question, but I'm still learning.

Thanks",2,1
"Hi,

I tried the notebook neptune_ensembling.ipynb on neptune, but I got this error message:
...
ModuleNotFoundError: No module named 'seaborn'

I am not sure which combination of worker type, Python version and leading library I should use where this seaborn module is installed. ",2,1
"I'm trying to use NetworkX to read a Shapefile and use the function write_shp() to generate the Shapefiles that will contain the nodes and edges, but when I try to run the code it gives me the following error:

Traceback (most recent call last): File ""C:/Users/Felipe/PycharmProjects/untitled/asdf.py"", line 4, in 

<module>

  nx.write_shp(redVial, ""shapefiles"") File     ""C:\Python34\lib\site-    packages\networkx\readwrite\nx_shp.py"", line 192, in  write_shp

for key, data in e[2].iteritems(): AttributeError: '  dict' object has no attribute 'iteritems'

I'm using Python 3.4 and installed NetworkX via pip install.

Before this error it had already given me another one that said ""xrange does not exist"" or something like that, so I looked it up and just changed xrange to range in the nx_shp.py file, which seemed to solve it.

From what I've read it could be related to the Python version (Python2 vs Python3).",2,1
"As I execute:

kliep.fit(X_train, X_test)

AttributeError: 'dict' object has no attribute 'iteritems' come. How to resolve this.

Bothe X_train and X_test sets have shape of (5000, 256)",2,1
"I get the error :
File ""python"", line 2
def myFun(x):
^
IndentationError: unexpected indent
Oops, try again.",2,1
"IndentationError: unindent does not match any outer indentation level
please help me .. I cant figure out what is wrong with my code.",2,1
"Hello, i'm trying to control mobile robot 'rb1 base', it has elevate function which can move its head up and down. You can see the Service caller in the down side of the picture, it has the service topic named '/rb1_base/robotnik_base_control/set_elevator', based on that information, i wrote the service call program, you can see this top of the picture. In the SetElevator.h there is only one variable named 'int32 action', if i make the action variable to 1 then the robot elevate up, if i make it to -1 then the robot elevate down. so i wrote the code 'srv(1)' to elevate up the robot. But it says 'AttributeError : 'int' object has no attribute 'action''. Is there special way to change the variable 'int32 action'? Is it not just int?

",2,1
"AttributeError: 'str' object has no attribute 'decode'.Previously, I was regularly building two apps, and even published one to the Play Store. Recently, I received this error and couldn't continue with either app. Any insight would be greatly appreciated!",2,1
I keep getting a TypeError: unhashable type: 'list'.I'm wondering if I made a mistake somewhere.,2,1
What is the meaning of 'unhashable type' error in Python?,2,1
