name,description,keywords
Beautiful Soup,"Beautiful Soup is a Python library for getting data out of HTML, XML, and other markup languages. Say you’ve found some webpages that display data relevant to your research, such as date or address information, but that do not provide any way of downloading the data directly. Beautiful Soup helps you pull particular content from a webpage, remove the HTML markup, and save the information. It is a tool for web scraping that helps you clean up and parse the documents you have pulled down from the web.

The Beautiful Soup documentation will give you a sense of variety of things that the Beautiful Soup library will help with, from isolating titles and links, to extracting all of the text from the html tags, to altering the HTML within the document you’re working with.",scrape-webpage-web page-web-HTML-tags-parse-tree
Statsmodels,Statsmodels is a Python package that provides a complement to scipy for statistical computations including descriptive statistics and estimation and inference for statistical models.,statistical-computations-descriptive statistics-estimation-inference-statistical models
pomegranate,"pomegranate has a variety of built-in features that are implemented for all of the models. These include different training strategies such as semi-supervised learning, learning with missing values, and mini-batch learning. It also includes support for massive data supports with out-of-core learning, multi-threaded parallelism, and GPU support. pomegranate is a Python package that implements fast and flexible probabilistic models ranging from individual probability distributions to compositional models such as Bayesian networks and hidden Markov models. The core philosophy behind pomegranate is that all probabilistic models can be viewed as a probability distribution in that they all yield probability estimates for samples and can be updated given samples and their associated weights. The primary consequence of this view is that the components that are implemented in pomegranate can be stacked more flexibly than other packages. For example, one can build a Gaussian mixture model just as easily as building an exponential or log normal mixture model. But that’s not all! One can create a Bayes classifier that uses different types of distributions on each features, perhaps modeling time-associated features using an exponential distribution and counts using a Poisson distribution. Lastly, since these compositional models themselves can be viewed as probability distributions, one can build a mixture of Bayesian networks or a hidden Markov model Bayes’ classifier that makes predictions over sequences.",
xlrd,"Extract data from Excel spreadsheets (.xls and .xlsx, versions 2.0 onwards) on any platform. Pure Python (2.7, 3.4+). Strong support for Excel dates. Unicode-aware.",Extract-data-Excel-spreadsheets-.xls-.xlsx
Twisted,"Twisted is an event-based framework for internet applications, supporting Python 2.7 and Python 3.5+. It includes modules for many different purposes, including the following:

twisted.web: HTTP clients and servers, HTML templating, and a WSGI server.
twisted.conch: SSHv2 and Telnet clients and servers and terminal emulators.
twisted.words: Clients and servers for IRC, XMPP, and other IM protocols.
twisted.mail: IMAPv4, POP3, SMTP clients and servers.
twisted.positioning: Tools for communicating with NMEA-compatible GPS receivers.
twisted.names: DNS client and tools for making your own DNS servers.
twisted.trial: A unit testing framework that integrates well with Twisted-based code.
Twisted supports all major system event loops – select (all platforms), poll (most POSIX platforms), epoll (Linux), kqueue (FreeBSD, macOS), IOCP (Windows), and various GUI event loops (GTK+2/3, Qt, wxWidgets). Third-party reactors can plug into Twisted, and provide support for additional event loops.",event-internet-applications-HTTP-clients-servers-HTML templating-WSGI-SSH-Telnet-terminal-emulator-IRC-XMPP-IM-protocols-IMAPv4-POP3-SMTP-NMEA-compatible-GPS-receiver-DNS-tools-making your own DNS-unit testing-event loops-select-poll-POSIX-epoll-Linux-kqueue-FreeBSD-macOS-IOCP-Windows-GUI-GTK-Qt-wxWidgets-Third-party-reactors
PyOpenGL,"PyOpenGL is the most common cross platform Python binding to OpenGL and related APIs. The binding is created using the standard ctypes library, and is provided under an extremely liberal BSD-style Open-Source license. OpenGL v1.1 to 4.4
GLES 1 to 3.1 (Experimental)
GLU
EGL, WGL, GLX
GLUT, FreeGLUT
GLE 3 (GL Extrusion Library)
hundreds of extensions to GL, GLES, EGL, WGL and GLX.
PyOpenGL is interoperable with a large number of external GUI libraries for Python including (but not limited to):

wxPython
PyGame
PyQt and PySide
PyGTK
Raw XLib
OSMesa
Raspberry Pi BCM
Tkinter (if you have installed the Togl widget for Tk) There are quite a few 3D-related libraries available for use with Python, many of them either based on, or extensible with PyOpenGL.  PyOpenGL's author collects pointers to them on his site.  There is another commonly used binding of OpenGL for Python which is part of the Pyglet game development environment.
",binding-OpenGL-APIs-extensions-GL-GLES-EGL-WGL-GLX-external-GUI libraries-wxPython-PyGame-PyQt-PySide-PyGTK-Raw XLib-OSMesa-Raspberry Pi BCM-Tkinter-Togl widget-3D-Pyglet
mayavi,"Mayavi is a general purpose, cross-platform tool for 2-D and 3-D scientific data visualization. Its features include:

Visualization of scalar, vector and tensor data in 2 and 3 dimensions.
Easy scriptability using Python.
Easy extendability via custom sources, modules, and data filters.
Reading several file formats: VTK (legacy and XML), PLOT3D, etc.
Saving of visualizations.
Saving rendered visualization in a variety of image formats.
Convenient functionality for rapid scientific plotting via mlab (see mlab documentation).
Unlike its predecessor MayaVi1, Mayavi has been designed with scriptability and extensibility in mind from the ground up. While the mayavi2 application is usable by itself, it may be used as an Envisage plugin which allows it to be embedded in user applications natively. Alternatively, it may be used as a visualization engine for any application.",2D-3D-scientific-data-visualization-scalar-vector-tensor-VTK-XML- PLOT3D-rapid-plotting-mlab-scriptability-extensibility-Envisage-plugin-embedded-user-applications-natively-visualization engine
matplotlib,"Matplotlib is an amazing visualization library in Python for 2D plots of arrays. Matplotlib is a multi-platform data visualization library built on NumPy arrays and designed to work with the broader SciPy stack. It was introduced by John Hunter in the year 2002.

One of the greatest benefits of visualization is that it allows us visual access to huge amounts of data in easily digestible visuals. Matplotlib consists of several plots like line, bar, scatter, histogram etc.",2D-graphics-interactive-graphing-scientific-publishing-user interface-development-web application-plotting-
seaborn,"Seaborn is a Python Library that allows to build beautiful data visualizations.

In my experience, Seaborn turns out to be very effective during data exploration as it allows to do the following:

Building histograms.
Plotting Kernel Density Estimates.
Building beautiful scatterplots in order to get a feeling about the data.
Boxplots are also available in this library as they give you a sense on how data is distributed.
Building Heatmap…
In short, Seaborn would allow to quickly understand the data on hand in a more visual way.",statistical-graphics-matplotlib-visualizing-univariate-bivariate-distributions-automatic estimation-estimation-plotting-linear regression-dependent variables-grids-explore-data-patterns
nltk,"The Natural Language Toolkit (NLTK) is a Python package for natural language processing.  Accessing Text Corpora and Lexical Resources.
 Processing Raw Text.
Writing Structured Programs.
Categorizing and Tagging Words (minor fixes still required).
Learning to Classify Text.
Extracting Information from Text.
 Analyzing Sentence Structure.
 Building Feature Based Grammars.
 Analyzing the Meaning of Sentences (minor fixes still required).
Managing Linguistic Data (minor fixes still required).",Natural Language-natural language processing-NLP-Text-Corpora-Lexical-processing -raw-categorizing-Tagging-Words-Classify Text-Extracting-Information-Analyzing-Sentence Structure-Grammars-Meaning of Sentences-Linguistic-Tokenize-parse tree
